<t>CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );

CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );</t><stat>SELECT * FROM Utilities.categories;</stat><divider><t>CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );

CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );</t><stat>select * from utilities.categories;</stat><divider><t>CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );

CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );</t><stat>SELECT * FROM Utilities.categories;</stat><divider><t>CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );

CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );</t><stat>select * from utilities.categories;</stat><divider><t>CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );

CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );</t><stat>SELECT id, name FROM Utilities.categories;</stat><divider><t>CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );

CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );</t><stat>select id, name from utilities.categories;</stat><divider><t>CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );

CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );</t><stat>SELECT id, name FROM Utilities.categories;</stat><divider><t>CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );

CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );</t><stat>select id, name from utilities.categories;</stat><divider><t>CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );

CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );</t><stat>SELECT * FROM Utilities.products;</stat><divider><t>CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );

CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );</t><stat>select * from utilities.products;</stat><divider><t>CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );

CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );</t><stat>SELECT * FROM Utilities.products;</stat><divider><t>CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );

CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );</t><stat>select * from utilities.products;</stat><divider><t>CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );

CREATE TABLE Utilities.products ( id INT PRIMARY KEY, name STRING, category_id INT, FOREIGN KEY (category_id) REFERENCES Utilities.categories(id) );</t><stat>SELECT id, name FROM Utilities.products;</stat><divider><t>CREATE TABLE Utilities.categories ( id INT PRIMARY KEY, name STRING );

